circo,nom circo,color1,candidat1,score1,candidat2,score2,candidat3,score3,candidat4,score4
974-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
44-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
45-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
41-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
41-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
41-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
46-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
46-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
47-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
47-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
47-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
48-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
49-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
50-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
50-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
50-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
50-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
972-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
972-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
972-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
972-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
53-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
53-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
53-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
985-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
985-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
55-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
55-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
56-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
58-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
58-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-14,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-15,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-16,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-17,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-18,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-19,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-20,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-21,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
988-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
988-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
60-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
61-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
61-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
61-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-1,Paris 1,FN,jacque delors,0.501,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-2,Paris 2,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-14,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-15,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-16,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-17,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-18,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
987-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
987-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
987-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-1,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-2,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-3,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-4,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-5,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-1,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-2,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-3,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-4,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-5,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
64-6,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
66-1,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
66-2,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
66-3,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
66-4,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-1,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-2,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-3,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-4,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-5,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-6,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-7,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-8,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-9,Ain 1,SOC,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
69-14,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
979-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
975-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-1,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-2,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-3,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-4,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-5,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
72-1,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
72-2,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
72-3,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
72-4,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
72-5,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
73-1,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
73-2,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
73-3,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
73-4,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-1,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-2,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-3,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-4,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-5,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-6,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-7,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-8,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-9,Ain 1,DLF,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
77-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
81-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
81-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
81-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
82-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
82-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
90-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
90-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
95-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
83-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
